word,c1,c2,source_subtlex,source_yuwei,source_xianhan,subtlex_wcount,qwen_c1_probability_distribution,qwen_c1_score,qwen_c2_probability_distribution,qwen_c2_score,lexical_structure
一一,一,一,1,1,1,1258,"{""1"":0.0003,""4"":0.0,""5"":0.0002,""6"":0.0004,""7"":0.9991}",6.9976,"{""1"":0.0012,""3"":0.0001,""5"":0.0002,""6"":0.0001,""7"":0.9984}",6.9921,MORPH_RED
一七,一,七,1,0,0,1,"{""1"":0.9852,""2"":0.0019,""3"":0.0024,""4"":0.0019,""7"":0.0085}",1.0636,"{""1"":0.9957,""2"":0.0025,""3"":0.0009,""4"":0.0003,""7"":0.0007}",1.0093,COORD
一万,一,万,1,0,0,492,"{""1"":0.1397,""2"":0.1088,""5"":0.0847,""6"":0.1793,""7"":0.4875}",5.2693,"{""1"":0.0139,""2"":0.0015,""5"":0.0031,""6"":0.0084,""7"":0.9731}",6.8948,SUBORD
一三,一,三,1,0,0,1,"{""1"":0.9813,""2"":0.004,""3"":0.0109,""4"":0.0019,""7"":0.0019}",1.0429,"{""1"":0.9912,""2"":0.0041,""3"":0.0041,""4"":0.0004,""7"":0.0003}",1.015,COORD
一下,一,下,1,1,1,27171,"{""1"":0.0253,""2"":0.6522,""3"":0.3081,""5"":0.0072,""7"":0.0072}",2.3407,"{""2"":0.6997,""3"":0.2574,""5"":0.0165,""6"":0.0165,""7"":0.01}",2.4225,COMP
一世,一,世,1,1,1,35,"{""1"":0.0754,""2"":0.338,""3"":0.338,""5"":0.1243,""7"":0.1243}",3.2572,"{""2"":0.0012,""3"":0.002,""5"":0.0319,""6"":0.1428,""7"":0.822}",6.7791,SUBORD
一东,一,东,1,0,0,1,"{""1"":0.9932,""2"":0.0041,""3"":0.0019,""4"":0.0001,""7"":0.0007}",1.0125,"{""1"":0.4988,""2"":0.0005,""3"":0.001,""4"":0.001,""7"":0.4988}",3.9981,SUBORD
一丝,一,丝,0,0,1,,"{""2"":0.1191,""3"":0.0723,""5"":0.1964,""6"":0.4158,""7"":0.1964}",5.3067,"{""1"":0.0,""2"":0.0,""5"":0.0007,""6"":0.06,""7"":0.9392}",6.9383,SUBORD
一两,一,两,1,0,0,613,"{""1"":0.7262,""2"":0.1262,""3"":0.1262,""4"":0.0081,""7"":0.0133}",1.4826,"{""1"":0.0032,""2"":0.0005,""5"":0.0005,""6"":0.0025,""7"":0.9933}",6.9747,SUBORD
一个,一,个,1,0,0,116726,"{""1"":0.0041,""4"":0.0002,""5"":0.0006,""6"":0.0007,""7"":0.9945}",6.9732,"{""1"":0.0109,""2"":0.0009,""5"":0.0031,""6"":0.004,""7"":0.9811}",6.9199,PFX
一中,一,中,1,0,0,3,"{""1"":0.3834,""2"":0.1811,""3"":0.3834,""5"":0.0116,""7"":0.0404}",2.2368,"{""1"":0.3068,""2"":0.0879,""3"":0.394,""5"":0.0252,""7"":0.1861}",3.0932,SUBORD
