analysis,position,method,n,coefficient,p_value
qwen_vs_human,C1,Pearson,8785,0.4878594229413488,0.0
qwen_vs_human,C1,Spearman,8785,0.5909895676297128,0.0
qwen_vs_human,C2,Pearson,8785,0.4763630548601599,0.0
qwen_vs_human,C2,Spearman,8785,0.5384020399757257,0.0
word2vec_vs_human,C1,Pearson,8168,0.530218785401696,0.0
word2vec_vs_human,C1,Spearman,8168,0.5486569052688566,0.0
word2vec_vs_human,C2,Pearson,8168,0.4826171012554444,0.0
word2vec_vs_human,C2,Spearman,8168,0.4972714392491122,0.0
human_split_half,C1,Pearson,1176,0.7257588663591024,6.266861142517343e-193
human_split_half,C1,Spearman,1176,0.6802257747565144,1.4717944064559366e-160
human_split_half,C2,Pearson,1176,0.7950729929905814,3.3213981634123485e-257
human_split_half,C2,Spearman,1176,0.7656154903558652,3.6227539330269926e-227
