"TW","ms","converged","ST_C1_qwen_coef","ST_C1_qwen_se","ST_C1_qwen_p","ST_C2_qwen_coef","ST_C2_qwen_se","ST_C2_qwen_p","ST_C1_qwen_p_fdr","ST_C2_qwen_p_fdr","ST_C1_qwen_sig","ST_C2_qwen_sig"
"TW1","0-100",TRUE,-0.00120603500392722,0.0321677089912807,0.970100038775144,-0.00398607393086781,0.0320199724939268,0.900954446030053,0.970100038775144,0.996900836037892,FALSE,FALSE
"TW2","100-200",TRUE,0.0578380474387272,0.0378820282190941,0.127125755367311,-0.00163591444428085,0.0377083816923712,0.965404600842024,0.229974506711292,0.996900836037892,FALSE,FALSE
"TW3","200-300",TRUE,0.100875756838074,0.0409582339463411,0.0139481757677078,-0.000183345408318746,0.0407721224367042,0.996412950947773,0.0464939192256927,0.996900836037892,TRUE,FALSE
"TW4","300-400",TRUE,0.0820253475234271,0.0478485350092664,0.0867861281124998,0.000185106453242266,0.0476439833075525,0.996900836037892,0.21696532028125,0.996900836037892,FALSE,FALSE
"TW5","400-500",TRUE,0.0513053041011632,0.0469458070682598,0.274715238344623,0.035212127185404,0.0467464154139947,0.451470959830747,0.392450340492318,0.996900836037892,FALSE,FALSE
"TW6","500-600",TRUE,-0.0625817547030998,0.0421563512889807,0.137984704026775,-0.0108102793893238,0.0419729151517882,0.796804071420659,0.229974506711292,0.996900836037892,FALSE,FALSE
"TW7","600-700",TRUE,-0.140696228697075,0.0398069347312672,0.000427138688154245,0.00202149636832806,0.0396318304748493,0.959330162458462,0.00427138688154245,0.996900836037892,TRUE,FALSE
"TW8","700-800",TRUE,-0.105678388342475,0.036752108461677,0.00411945190843112,0.063145909017071,0.0365858664469499,0.0846608519018704,0.0205972595421556,0.846608519018703,TRUE,FALSE
"TW9","800-900",TRUE,0.00262045617045091,0.0364074935966284,0.942635470688064,-0.00363040145074081,0.0362414298272552,0.920227190256794,0.970100038775144,0.996900836037892,FALSE,FALSE
"TW10","900-1000",TRUE,0.0157630265558732,0.0357114304655846,0.659017892376453,0.000713744734589793,0.0355466155493642,0.983984238995543,0.823772365470566,0.996900836037892,FALSE,FALSE
